text_query,chosen_image_path
Your short text description,image/image_2.png
Your short text description,image/image_2.png
пїЅпїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅ,image/image_2.png
пїЅпїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅ,image/image_2.png
пїЅпїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅ,image/image_2.png
пїЅпїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅ,image/image_2.png
звезда победы,image/image_2.png
космос,image/image_5.png
марафон,image/image_157.png
марафон,image/image_157.png
marathon,image/image_157.png
bank,image/image_29.png
банк,image/image_29.png
банк,image/image_29.png
Bank,image/image_29.png
taxes,image/image_27.png
taxes,image/image_27.png
taxes,image/image_27.png
"Dictation of victory, to know to remember",image/image_1.png
"Dictation of victory, to know to remember",image/image_1.png
"Dictation of victory, to know to remember",image/image_1.png
"Dictation of victory, to know to remember",image/image_1.png
"Specific experience, training on the ethics of communicating with people with disabilities",image/image_4.png
"Specific experience, training on the ethics of communicating with people with disabilities",image/image_4.png
"Specific experience, training on the ethics of communicating with people with disabilities",image/image_4.png
